id;date created;policy holder;life assured;age;dob;status;product name;insurer;policy num;coverage term;policy type;date incepted;date matured;date payment matured;nomination nominee;nomination status;payment frequency;payment term;payment mode;payment amt;hs deductible;hs co-insured;hs yearly limit;gi-travel medical overseas;gi-travel personal accident;gi-travel region;gi-home fixtures;gi-home contents;gi-motor property;gi-motor person;gi-motor workshop;gi-motor ncd;long term care;death;total perm disability;disability income;early critical illness;critical illness;personal accident;hospitalization benefits;remarks
58abc45c7370617b2071faf8;2018-04-27 16:06:41;Good Johnny;Good Girl;3;2015-01-02;ACTIVE;AIA Triple Critical Cover;AIA;2345678;Whole Life;Whole Life with Critical Illness;2017-02-04;2114-02-03;2036-02-03;;;;20 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;500000.0;0.0;0.0;500000.0;500000.0;0.0;0.0;
5abc923e737061239fe3cbc9;2020-06-17 06:38:04;Good Johnny;Good Girl;4;2015-01-02;ACTIVE;AIA Smart Growth;AIA;234567890;Whole Life;Endowment;2018-03-29;2114-03-28;2113-03-28;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5ae2d4777370610cc61a93ee;2020-06-23 06:56:35;Good Johnny;Good Girl;3;2015-11-15;ACTIVE;MyShield Plan 1;AVIVA;HNS1234567;Auto-Renewable;Hospital & Surgical;2018-04-27;2022-04-26;2022-04-26;;;;Auto-Renewable;CPF Medisave Account;3000.0;10.0;650000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5ef1871843d8da6ca1b2821a;2020-06-23 04:37:44;Good Johnny;Good Girl;5;2015-11-15;ACTIVE;Prulife Multiplier (7th Series);PRUDENTIAL ASSURANCE;;Whole Life;Whole Life with Critical Illness;2020-06-23;2115-06-22;2029-06-22;;;;10 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;100000.0;0.0;0.0;100000.0;0.0;0.0;
586c9afd73706155e28e3e9d;2018-04-27 16:06:08;Good Johnny;Good Johnny;43;1972-01-02;ACTIVE;MyProtector Plus;AVIVA;1234567;25 Years;Term ( Level );2015-01-01;2039-12-31;2038-12-31;;;;25 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1000000.0;1000000.0;0.0;0.0;0.0;0.0;0;
586c9b9f73706155e28e3ea5;2021-12-28 07:15:25;Good Johnny;Good Brother;1;2011-04-02;ACTIVE;TM Education;TOKIO MARINE LIFE INSURANCE;876543;20 Years;Endowment;2012-04-01;2032-03-31;2023-03-31;;;;12 Years;Cash ( Credit Card );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;50000.0;50000.0;0.0;0.0;0.0;0.0;0;Doc Missing
5ae2d3b47370610cc61a93e7;2018-10-04 11:01:34;Good Johnny;Good Johnny;44;1972-01-02;ACTIVE;MyShield Plan 1;AVIVA;hns1234567;Auto-Renewable;Hospital & Surgical;2015-04-27;2022-04-26;2022-04-26;;;;Auto-Renewable;CPF Medisave Account|Cash ( GIRO );3000.0;10.0;650000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5ae2d4277370610cc51a93d4;2021-05-22 03:24:23;Good Johnny;Good Brother;8;2011-04-02;ACTIVE;MyShield Plan 1;AVIVA;HNS1234567;Auto-Renewable;Hospital & Surgical;2018-04-27;2022-04-26;2022-04-26;;;;Auto-Renewable;CPF Medisave Account;3000.0;10.0;650000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5ae2d4c07370610cc61a93f5;2018-04-27 16:04:45;Good Johnny;Good Wife;32;1986-05-11;ACTIVE;MyShield Plan 1;AVIVA;HNS1234567;Auto-Renewable;Hospital & Surgical;2018-04-27;2022-04-26;2022-04-26;;;;Auto-Renewable;CPF Medisave Account|Cash ( GIRO );3000.0;10.0;650000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5ae2d5827370610cc61a93fc;2019-12-02 17:39:04;Good Johnny;Good Johnny;32;1972-01-02;ACTIVE;ELA 15;AVIVA;123456789;Whole Life;Whole Life with Critical Illness;2003-04-27;2071-04-26;2017-04-26;;;;15 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;100000.0;0.0;0.0;100000.0;0.0;0.0;
